Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False
Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False
Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False
VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,False
Charmander,Fire,,309,39,52,43,60,50,65,1,False
Charmeleon,Fire,,405,58,64,58,80,65,80,1,False
Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False
CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False
CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False
Squirtle,Water,,314,44,48,65,50,64,43,1,False
Wartortle,Water,,405,59,63,80,65,80,58,1,False
Blastoise,Water,,530,79,83,100,85,105,78,1,False
BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,False
